row_index,original_prompt,error_type,error_message,http_status,timestamp
244,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:10:48.664278
245,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:10:52.462552
246,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:10:56.119699
247,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:10:59.509486
248,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:03.076237
249,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:06.969631
250,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:10.316450
251,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:13.683249
252,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:17.287642
253,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:20.737625
254,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:24.226200
255,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:28.220315
256,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:32.316360
257,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:35.899992
258,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:39.342124
259,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:43.171307
260,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:47.163948
261,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:50.337650
262,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:54.128987
263,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:11:57.916829
264,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:12:01.500747
265,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:12:05.493112
266,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:12:09.079689
267,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:12:12.753308
268,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:12:16.341674
269,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:12:19.805242
629,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:28:19.317172
1079,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:48:28.638839
1343,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T11:59:59.758307
1344,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T12:00:03.649900
1345,nan,Request Failed,"HTTPSConnectionPool(host='api.stability.ai', port=443): Read timed out. (read timeout=180)",,2025-03-20T12:03:06.039311
1346,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T12:03:10.633341
1347,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T12:03:14.114658
1348,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T12:03:17.596915
1349,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T12:03:21.383664
1709,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T12:19:14.422350
2068,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T12:35:11.347507
2069,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T12:35:14.837858
2420,"This image is a collage of several photos depicting a disaster relief effort, likely in the aftermath of a typhoon or similar natural disaster, given the presence of damaged infrastructure and debris.

1. **Top Left**: A person is performing with a microphone, surrounded by a group of people, possibly volunteers or organizers. It looks like a community gathering or a relief event.

2. **Top Right**: A large ship is stranded on land amidst debris. The area is heavily damaged, indicating a severe impact, likely from a storm surge or flooding.

3. **Middle Left**: A large crowd of people is gathered, possibly in a relief center. They appear to be listening to someone or something happening in front of them.

4. **Middle Right**: There is significant destruction, with debris and a vehicle overturned, showcasing the severity of the disaster's impact on infrastructure.

5. **Bottom Left**: A person is hugging a smiling child, suggesting a comforting gesture or a relief effort interaction.

6. **Bottom Right**: A group of people, including children, are interacting with an individual, possibly distributing aid or providing support.

The images suggest a scene of humanitarian aid and community support following a natural disaster. The location is not specified, but the context implies a region affected by a typhoon or similar event. The damage appears extensive, with significant destruction to property and infrastructure.",Request Failed,"HTTPSConnectionPool(host='api.stability.ai', port=443): Read timed out. (read timeout=180)",,2025-03-20T12:53:40.456234
2747,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:06.703968
2748,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:11.049829
2749,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:14.753502
2750,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:18.524241
2751,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:22.209240
2752,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:25.896797
2753,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:29.171651
2754,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:32.653513
2755,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:36.341351
2756,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:40.028916
2757,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:43.713390
2758,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:47.138286
2759,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:50.881661
2760,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:54.568822
2761,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:08:58.459981
2762,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:02.020176
2763,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:05.627929
2764,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:09.109882
2765,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:12.366549
2766,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:15.561261
2767,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:19.350487
2768,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:22.420980
2769,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:25.900889
2770,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:29.385407
2771,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:32.648089
2772,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:35.936990
2773,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:39.103921
2774,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:42.816581
2775,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:46.310171
2776,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:49.708728
2777,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:53.344033
2778,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:09:57.133816
2779,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:00.592431
2780,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:03.996973
2781,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:07.680496
2782,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:11.402308
2783,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:14.792104
2784,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:18.432695
2785,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:22.086064
2786,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:25.600543
2787,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:28.877613
2788,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:32.360298
2789,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:10:35.942835
2822,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:06.054141
2823,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:09.661384
2824,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:13.226789
2825,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:16.540750
2826,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:19.924667
2827,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:23.667278
2828,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:27.458283
2829,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:31.450266
2830,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:34.816975
2831,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:38.662140
2832,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:42.357551
2833,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:45.798602
2834,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:49.574254
2835,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:52.955572
2836,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:12:56.435572
2837,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:00.121614
2838,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:03.605218
2839,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:07.043799
2840,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:10.464861
2841,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:14.161331
2842,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:17.900562
2843,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:21.296016
2844,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:24.801518
2845,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:28.487089
2846,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:31.958759
2847,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:35.142444
2848,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:38.796967
2849,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:42.208755
2850,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:45.792259
2851,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:49.170857
2852,nan,API Error,"Your request was flagged by our content moderation system, as a result your request was denied and you were not charged.",403,2025-03-20T13:13:52.654162
